,x,y
0,312.0080888969909,286.01266304827976
1,315.37814200312147,286.87552909084303
2,311.79660813691476,292.4802431429372
3,312.9658863791119,285.3079620627264
4,316.88238405741936,286.63038735703844
5,318.05309844408805,296.3460252184735
6,311.0084459570806,288.49093644311404
7,313.29761156460665,285.3262563672341
8,315.14102918236216,290.6678567734995
9,316.55134889766595,285.0903573856438
10,314.66708435766606,285.2451209849824
11,312.46446237041005,284.1757642170618
12,318.2883771348858,292.68582705442356
13,309.1365140658153,292.00145088928423
14,317.23000628723867,290.93109558035354
15,310.76785059751586,285.7502024786659
16,309.9758534834417,290.65576190087927
17,320.52186589375054,282.7783112616077
18,311.627797723552,288.309994852714
19,312.6809841981355,284.70593991815326
20,314.55909772195577,287.14163095662025
21,313.66751202489854,288.2910373381819
22,314.1234056296072,288.03495746068864
23,307.22129236852066,286.89107651588824
24,315.0027374174402,285.7735892578482
25,317.26675775697913,290.46801123232575
26,318.1300015395882,291.55343027185427
27,323.10099079766013,286.22278322398466
28,313.53772830145437,282.72020727079473
29,315.50425135116865,290.00485299853
30,316.442776863619,285.43555155693747
31,318.24175780499394,286.15503531745156
32,313.27498195117056,283.94701229121716
33,312.99402788046547,293.52754919320404
34,316.439824617019,285.876886007995
35,315.7733598278965,287.99354135155613
36,316.8747016777492,286.2783003819754
37,316.19986452133867,292.16316215216665
38,316.23555869308535,286.09023881124267
39,317.22034981667775,290.9698225762066
40,313.71716327623915,286.5622484533236
41,311.45539544473553,281.9772828902102
42,317.3092307904905,290.8114678296082
43,312.6332247915525,289.24550190226074
44,313.8367525877481,288.97947115247825
45,306.7269907967618,286.0160977406037
46,311.11873379860396,285.36551564350276
47,316.87145240073414,291.2480801284846
48,314.0794159236565,285.3650372307463
49,316.18436224293487,289.51078368334845
50,311.4424035957261,283.42598198403186
51,316.7086456262812,283.97904991766603
52,314.23864842905,287.9232470885769
53,316.83235024331753,288.89851285918866
54,313.4157274859857,287.19647109338285
55,316.7105785970068,286.5768377058316
56,317.0501951623228,285.9325276391218
57,313.47436524695786,291.2311031607382
58,319.10076898901434,286.962769214224
59,317.96519327526414,292.5624041766154
60,310.81802364913585,290.1926699283686
61,314.18719844000253,281.43629863126125
62,312.8910995320573,288.27065016496823
63,313.0500503392184,287.23455613171006
64,314.3419257121702,289.07476025843425
65,316.8315905041852,288.22048405240224
66,316.5272915490546,286.54738108951364
67,323.67714101234156,289.555630226668
68,316.0126102897111,282.4786604672011
69,312.25409323378375,288.74849731028416
70,314.1905183591201,288.0500456693657
71,315.71499144885365,287.00915362029383
72,309.83896928552304,287.5891453736874
73,315.8299175639931,288.8329838139432
74,315.68336730671007,291.1976280702712
75,320.79500961977516,286.10347524530806
76,316.48334098945514,292.2939011362068
77,307.95761799534586,289.13839792497004
78,315.7866636980653,291.54962427912494
79,317.3248774872452,285.9911560376594
80,315.0826098685916,283.2152885462145
81,314.2532019572386,293.2012769820521
82,314.9440682206113,283.77300156143093
83,314.67578008533445,286.5084113707544
84,312.51952729530956,286.0262018615366
85,314.14463048652954,292.045665519094
86,313.10194418801467,289.3958378669228
87,313.38493098836926,294.9259258764476
88,315.7540786512509,288.5458235715185
89,316.10816393835745,290.7633232092295
90,313.8274945515355,291.5305917452627
91,312.84208540784863,287.23136168715064
92,316.0423438213456,289.43843566343435
93,318.07220805458655,288.83602180918797
94,316.56338655663905,286.9703292686684
95,309.7928016949242,294.67595141488727
96,315.0915904254502,287.9009779747651
97,313.0161134474334,289.44923601646
98,315.6658369671259,288.53529959544915
99,306.39432451378474,286.06838136047264
100,315.18124182111893,285.15545763400183
101,322.9323282965343,287.52583454721236
102,317.11554212324813,288.99310969442786
103,316.4765211506122,292.9601223483127
104,314.6341197815068,291.80383022468783
105,315.21705235161556,287.39019541132694
106,313.0402883642343,288.4780447588815
107,318.19509509809023,288.76995055084683
108,317.23004310380344,291.18635703393187
109,311.4497591335549,289.84091061332646
110,315.83408785381795,288.9254953083706
111,308.6706720091972,282.00127722814204
112,314.6192506717421,286.89231055769443
113,316.33340396377235,288.6441454697694
114,312.7072902931926,287.0137280900183
115,311.86568829236495,284.15142662531184
116,317.7142609799162,285.6875060955778
117,310.81406802402785,289.4667900868409
118,319.1936530411285,291.086163951923
119,316.08569286453127,285.67863657617715
120,320.0309704961589,289.9152359746152
121,310.28106119632963,287.08143268860704
122,316.27921096665693,296.5149724077359
123,316.93332185812835,286.7899374053138
